 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Unidade da Federação e Ano
Imuno: 098 Tríplice Viral  D2
Período:2014-2019
"Unidade da Federação";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";112,73;94,61;94,32;84,00;79,41;49,35;85,59
"12 Acre";61,61;51,69;64,20;60,55;72,05;44,31;58,99
"13 Amazonas";84,51;78,17;75,60;65,40;77,98;51,33;72,12
"14 Roraima";89,67;92,42;83,50;89,26;90,70;54,18;82,92
"15 Pará";65,35;45,78;62,34;57,37;58,67;38,43;54,69
"16 Amapá";84,86;74,65;85,95;64,85;63,83;43,35;69,61
"17 Tocantins";89,43;61,33;88,28;78,59;78,12;53,97;74,95
"21 Maranhão";89,25;74,36;47,58;54,37;56,12;37,66;59,97
"22 Piauí";73,51;62,91;60,91;60,27;68,04;43,79;61,51
"23 Ceará";128,34;93,98;88,70;82,89;86,44;53,40;88,89
"24 Rio Grande do Norte";91,11;79,89;50,44;54,33;63,91;37,37;62,80
"25 Paraíba";86,96;64,46;56,66;71,86;71,38;44,66;65,93
"26 Pernambuco";92,83;87,36;68,22;71,21;69,49;48,59;73,14
"27 Alagoas";90,64;81,68;60,50;71,21;71,34;45,37;70,30
"28 Sergipe";81,80;80,95;70,86;74,18;71,91;47,83;71,29
"29 Bahia";91,52;78,54;56,24;62,92;63,24;38,47;65,28
"31 Minas Gerais";87,72;71,87;88,38;85,68;84,50;56,89;79,21
"32 Espírito Santo";97,63;87,48;78,35;72,40;79,43;52,82;77,77
"33 Rio de Janeiro";96,45;89,41;72,17;71,04;69,95;29,36;71,41
"35 São Paulo";95,89;92,43;77,73;87,14;81,41;51,69;81,07
"41 Paraná";93,09;78,91;91,29;88,20;86,81;59,95;83,03
"42 Santa Catarina";93,38;83,72;98,38;83,25;83,17;58,00;82,99
"43 Rio Grande do Sul";90,12;69,36;86,47;79,74;83,30;54,51;77,23
"50 Mato Grosso do Sul";115,08;80,03;94,30;78,20;97,30;51,17;85,69
"51 Mato Grosso";100,71;80,55;85,08;76,94;80,46;49,04;78,34
"52 Goiás";92,25;68,14;84,19;78,75;76,42;50,19;74,94
"53 Distrito Federal";97,29;65,43;128,41;86,21;88,69;59,30;87,53
"Total";92,88;79,94;76,71;76,45;76,49;48,37;75,12
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

